SID,smiles
104098277,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O
172541859,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H](C(=O)O)[C@@H]2N[C@@H](C(=O)O)C(C)(C)S2)C2C=CC=CC2)C(=O)C1=O
172541860,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H](C(=O)O)[C@H]2N[C@@H](C(=O)O)C(C)(C)S2)C2C=CC=CC2)C(=O)C1=O
103949897,C[C@]1(/C=C/C[n+]2ccccc2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
103969551,C[C@]1(/C=C/C#N)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O
104155049,O=C(Nc1cccc(C(F)(F)F)c1)Nc1c(Oc2ccc(Cl)c(Cl)c2)ccc(Cl)c1S(=O)(=O)O
104155050,Cc1cc(Cl)ccc1NC(=O)Nc1c(Oc2ccc(Cl)cc2)ccc(Cl)c1S(=O)(=O)O
117646018,CC(=O)N[C@H]1CON([C@@]2(C(=O)O)CCC(=O)O2)C1=O
136357169,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12
160864345,O=C(NCB(O)O)c1c(F)cccc1F
160864346,O=C(NCB(O)O)c1ccccc1Cl
160864347,O=C(Cc1ccccc1Cl)NCB(O)O
160864348,O=C(Cc1ccccc1[N+](=O)[O-])NCB(O)O
160864349,O=C(NCB(O)O)c1ccccc1C(F)(F)F
160864352,O=C(Cc1ccc(Cl)cc1)NCB(O)O
160864350,COc1cccc(OC)c1C(=O)NCB(O)O
160864351,O=C(NCB(O)O)c1ccccc1[N+](=O)[O-]
103926992,O=C(NO)c1ccc(-c2cccc3ccccc23)cc1
433925772,CCCCCCCCCCCCn1cc(CO[C@H](CP(=O)(O)OCCCN(Cc2ccc(-c3ccccc3)cc2)Cc2ccc(-c3ccccc3)cc2)C(=O)OCC)nn1
433925773,CCCCCCCCCCCCn1cc(CO[C@H](CP(=O)(O)OCCCN(C)Cc2ccc(-c3ccccc3)cc2)C(=O)OCC)nn1
433925775,CCCCCCCCCCCCn1cc(CO[C@H](CP(=O)(O)OCCCNCc2ccc(-c3ccccc3)cc2)C(=O)OCC)nn1
433933666,NS(=O)(=O)C[C@H]1[C@H](OCc2ccccc2)O[C@H](CO)[C@@H](OCc2ccccc2)[C@@H]1O
433933669,COP(=O)(O)C[C@H]1[C@H](OCc2ccccc2)O[C@H](CO)[C@@H](O)[C@@H]1O
